4,3527,1,978294008,1
4,1196,2,978294199,2
4,1210,3,978293924,3
7,3578,3,978234737,1
7,3793,3,978234737,2
7,377,3,978234810,3
8,2490,2,978229293,1
8,2429,2,978231890,2
8,393,2,978229138,3
10,3439,2,978229894,1
10,223,2,978225900,2
10,3525,2,978226500,3
21,596,1,978139446,1
21,3053,1,978138933,2
21,1645,1,978138977,3
23,3877,1,978461689,1
23,2642,1,993706986,2
23,2643,1,993707035,3
24,3354,1,978132906,1
24,3707,1,978131551,2
24,372,1,978133072,3
25,1882,1,978132853,1
25,3676,1,978132285,2
25,3798,2,978386265,3
29,3793,1,978136022,1
29,2989,2,978136274,2
29,2058,2,978136162,3
38,92,1,978045312,1
38,691,2,978045112,2
38,265,2,978044548,3
39,3752,1,978044192,1
39,2526,1,978044192,2
39,2605,1,978043988,3
45,2052,1,977991240,1
45,2700,1,977991012,2
45,2491,1,977988253,3
49,2617,1,977974885,1
49,780,2,977975295,2
49,1566,2,977972722,3
50,3390,1,977960619,1
50,3821,1,977960942,2
50,3785,1,977960942,3
51,3821,1,977947405,1
51,3527,2,977947232,2
51,1517,3,977947958,3
55,1266,3,977948346,1
55,3101,3,977939597,2
55,105,3,977942827,3
59,3016,1,1041968245,1
59,3018,1,1041968245,2
59,2159,1,1041968245,3
62,597,1,977904043,1
62,2712,1,977903074,2
62,593,2,977901318,3
63,2188,1,977900049,1
63,2337,1,977900864,2
63,1707,1,977899712,3
69,2725,1,977882128,1
69,562,1,977882255,2
69,590,2,977882365,3
70,2995,1,977877995,1
70,3053,1,977878060,2
70,3354,1,977878060,3
73,2053,1,977888728,1
73,1431,1,977867161,2
73,2094,1,977866484,3
77,3004,1,977813646,1
77,2710,1,977813683,2
77,2723,1,977814165,3
80,589,2,977787096,1
80,3157,2,977787896,2
80,2294,2,977787987,3
82,1801,2,977761627,1
82,160,2,977773930,2
82,3821,2,977761985,3
84,1199,1,977716600,1
84,1394,1,977717915,2
84,2617,1,977716568,3
87,583,1,977694356,1
